
[2026-08-10 14:58:28 DP2 TP2 EP2] Prefill batch, #new-seq: 1, #new-token: 128, #cached-token: 0, full token usage: 0.00, swa token usage: 0.04, #running-req: 0, #queue-req: 0, #pending-token: 0, npu graph: False, input throughput (token/s): 0.30
[2026-08-10 14:58:30 DP2 TP2 EP2] Decode batch, #running-req: 1, #full token: 128, full token usage: 0.00, #swa token: 128, swa token usage: 0.04, accept len: 1.00, accept rate: 0.00, npu graph: True, gen throughput (token/s): 0.09, #queue-req: 0
[2026-08-10 14:58:32 DP2 TP2 EP2] Decode batch, #running-req: 1, #full token: 128, full token usage: 0.00, #swa token: 128, swa token usage: 0.04, accept len: 1.00, accept rate: 0.00, npu graph: True, gen throughput (token/s): 18.26, #queue-req: 0
[2026-08-10 14:58:35 DP2 TP2 EP2] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.01, #swa token: 256, swa token usage: 0.08, accept len: 1.00, accept rate: 0.00, npu graph: True, gen throughput (token/s): 17.98, #queue-req: 0
[2026-08-10 14:58:37 DP2 TP2 EP2] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.01, #swa token: 256, swa token usage: 0.08, accept len: 1.00, accept rate: 0.00, npu graph: True, gen throughput (token/s): 18.11, #queue-req: 0
[2026-08-10 14:58:39 DP2 TP2 EP2] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.01, #swa token: 256, swa token usage: 0.08, accept len: 1.00, accept rate: 0.00, npu graph: True, gen throughput (token/s): 18.30, #queue-req: 0
[2026-08-10 14:58:41 DP2 TP2 EP2] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.01, #swa token: 256, swa token usage: 0.08, accept len: 1.00, accept rate: 0.00, npu graph: True, gen throughput (token/s): 18.15, #queue-req: 0
[2026-08-10 14:58:44 DP2 TP2 EP2] Decode batch, #running-req: 1, #full token: 384, full token usage: 0.01, #swa token: 256, swa token usage: 0.08, accept len: 1.00, accept rate: 0.00, npu graph: True, gen throughput (token/s): 17.28, #queue-req: 0
[2026-08-10 14:58:46 DP2 TP2 EP2] Decode batch, #running-req: 1, #full token: 384, full token usage: 0.01, #swa token: 256, swa token usage: 0.08, accept len: 1.00, accept rate: 0.00, npu graph: True, gen throughput (token/s): 17.75, #queue-req: 0
[2026-08-10 14:58:48 DP2 TP2 EP2] Decode batch, #running-req: 1, #full token: 384, full token usage: 0.01, #swa token: 256, swa token usage: 0.08, accept len: 1.00, accept rate: 0.00, npu graph: True, gen throughput (token/s): 17.84, #queue-req: 0
[2026-08-10 14:58:50 DP2 TP2 EP2] Decode batch, #running-req: 1, #full token: 512, full token usage: 0.02, #swa token: 256, swa token usage: 0.08, accept len: 1.00, accept rate: 0.00, npu graph: True, gen throughput (token/s): 18.00, #queue-req: 0
